"";"Estimate";"Std_Error";"t_value";"P_Value";"significancia";"agg";"Y_var";"table";"heterogenities"
"194";-0,21837941560048;0,183746075569617;-1,18848478762607;0,236437103582497;"";"ATT";"Participate_saberpro_sd_nat";"base_ent";"PRIV"
"195";0,0541741176826556;0,0304531290656795;1,77893436059776;0,0761681759895449;"";"ATT";"Participate_saberpro_sd_nat";"base_ent";"PUBL"
"196";-0,162455671742385;0,0848809321834594;-1,91392421788274;0,0562132726426596;".";"ATT";"frac_trabaja_sd_nat";"base_ai";"FALSE"
"197";-0,100824061785571;0,0650376787496397;-1,55024077925183;0,121728027575542;"";"ATT";"frac_trabaja_sd_nat";"base_10p";"FALSE"
"198";-0,0304770870741482;0,0650184020659;-0,468745556731122;0,639458717796676;"";"ATT";"frac_trabaja_sd_nat";"base_50p";"FALSE"
"199";-0,134439572624291;0,0948719218120249;-1,41706386944141;0,157095875424997;"";"ATT";"frac_trabaja_sd_nat";"base_ic";"FALSE"
"200";-0,112859518371184;0,0755768094210162;-1,49330885010607;0,136001282127891;"";"ATT";"frac_trabaja_sd_nat";"base_ent";"FALSE"
"201";-0,157138278882418;0,213814020793049;-0,734929722099529;0,463485665070397;"";"ATT";"frac_trabaja_sd_nat";"base_ai";"PRIV"
"202";-0,161905612869033;0,0887879716221666;-1,82350840897701;0,0691254327002441;"";"ATT";"frac_trabaja_sd_nat";"base_ai";"PUBL"
"203";0,145618404168522;0,119207110106128;1,2215580432986;0,223705874901744;"";"ATT";"frac_trabaja_sd_nat";"base_10p";"PRIV"
"204";-0,179287443670552;0,0798359774201133;-2,24569735931339;0,0253788394798505;"*";"ATT";"frac_trabaja_sd_nat";"base_10p";"PUBL"
"205";-0,0170197593193223;0,140205996653689;-0,121391094001218;0,903536498018796;"";"ATT";"frac_trabaja_sd_nat";"base_50p";"PRIV"
"206";-0,0356545886914067;0,0786419478763339;-0,453378758464557;0,650569560512606;"";"ATT";"frac_trabaja_sd_nat";"base_50p";"PUBL"
"207";-0,0259842595601427;0,2585287893195;-0,100508185678425;0,920069118284568;"";"ATT";"frac_trabaja_sd_nat";"base_ic";"PRIV"
"208";-0,15163735297929;0,0940508846700632;-1,61229055432327;0,107840374257902;"";"ATT";"frac_trabaja_sd_nat";"base_ic";"PUBL"
"209";-0,0708444999577756;0,13934163570912;-0,508423053865005;0,611870349458652;"";"ATT";"frac_trabaja_sd_nat";"base_ent";"PRIV"
"210";-0,140723524130366;0,0782613882713012;-1,79812200165085;0,073068781150012;"";"ATT";"frac_trabaja_sd_nat";"base_ent";"PUBL"
"211";-0,137882982599364;0,060796879531808;-2,26792861181676;0,0237689518492916;"*";"ATT";"estudiantes_prom_sd_nat";"base_ai";"FALSE"
"212";-0,0591567092663793;0,0433074914061076;-1,36596942805227;0,172573884337876;"";"ATT";"estudiantes_prom_sd_nat";"base_10p";"FALSE"
"213";0,0570554378926559;0,0338517816128818;1,6854485989873;0,092534840298959;"";"ATT";"estudiantes_prom_sd_nat";"base_50p";"FALSE"
"214";-0,140225794654627;0,0677812253135787;-2,06879993694265;0,0390855484023394;".";"ATT";"estudiantes_prom_sd_nat";"base_ic";"FALSE"
"215";-0,0426207117785115;0,0427446752586268;-0,997099908249033;0,319209156264204;"";"ATT";"estudiantes_prom_sd_nat";"base_ent";"FALSE"
"216";-0,265172187347375;0,18229168523943;-1,45465870809788;0,147772912963435;"";"ATT";"estudiantes_prom_sd_nat";"base_ai";"PRIV"
"217";-0,10264849436146;0,0581909578985621;-1,7639938930099;0,0786526458636857;"";"ATT";"estudiantes_prom_sd_nat";"base_ai";"PUBL"
"218";-0,00500677237839215;0,137576127117687;-0,0363927411193165;0,971015433110342;"";"ATT";"estudiantes_prom_sd_nat";"base_10p";"PRIV"
"219";-0,0775962198582496;0,0393037571551102;-1,97426977660228;0,0491770935758327;".";"ATT";"estudiantes_prom_sd_nat";"base_10p";"PUBL"
"220";0,25149552215496;0,0949399682310996;2,64899522130425;0,00889827268208278;"**";"ATT";"estudiantes_prom_sd_nat";"base_50p";"PRIV"
"221";-0,0132220398656027;0,0340600815915291;-0,388197539400232;0,698116424885009;"";"ATT";"estudiantes_prom_sd_nat";"base_50p";"PUBL"
"222";-0,315353771687438;0,172622179044575;-1,82684388201359;0,0696224031846757;"";"ATT";"estudiantes_prom_sd_nat";"base_ic";"PRIV"
"223";-0,0920884413532636;0,0746541802657327;-1,23353362163342;0,218241514974813;"";"ATT";"estudiantes_prom_sd_nat";"base_ic";"PUBL"
"224";-0,0750381650348737;0,0899182178683517;-0,834515705646394;0,405258438813378;"";"ATT";"estudiantes_prom_sd_nat";"base_ent";"PRIV"
"225";-0,0160574276162112;0,0347052656061033;-0,46267986531091;0,643897867711045;"";"ATT";"estudiantes_prom_sd_nat";"base_ent";"PUBL"
"226";0,697745757240899;1,19159038359307;0,585558398966721;0,55844299518633;"";"ATT";"TOTPRE";"base_ai";"FALSE"
"227";3,41567845258783;1,36238586258078;2,50712998894269;0,0124941423373471;"*";"ATT";"TOTPRE";"base_10p";"FALSE"
