"","math_c","reading_c","Participate_saberpro","estu_trabaja","estudiantes","treat","cole_cod_dane","id_name","year_treated","year","COLE_MCPIO_UBICACION","BASE","cole_naturaleza","buffer_km","year_treated_sa","year_treated_att","time_to_treat","fuente"
"16",0.4,0.517,12,0,81,0,"105030000010",2,NA,2006,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"17",0.341,0.478000000000001,32,0,83,0,"105030000010",2,NA,2007,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"18",0.341,0.478,1,0,83,0,"105030000010",2,NA,2007,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"19",0.405,0.539000000000001,24,5,85,0,"105030000010",2,NA,2008,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"20",0.405,0.539,1,5,85,0,"105030000010",2,NA,2008,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"21",0.405,0.539,0,5,85,0,"105030000010",2,NA,2008,"ITAGUI","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"22",0.381,0.489,26,0,77,0,"105030000010",2,NA,2009,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"23",0.422,0.505,36,0,69,0,"105030000010",2,NA,2011,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"24",0.332999999999999,0.515999999999999,26,9,82,0,"105030000010",2,NA,2012,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"25",0.48,0.52,6,2,68,0,"105030000010",2,NA,2014,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"26",0.49,0.5,4,0,63,0,"105030000010",2,NA,2015,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"27",0.545,0.575,0,1,54,0,"105030000010",2,NA,2016,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"28",0.53,0.575,0,22,76,0,"105030000010",2,NA,2017,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"29",0.52,0.55,0,18,66,0,"105030000010",2,NA,2018,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"30",0.502328767123288,0.532191780821918,0,39,77,0,"105030000010",2,NA,2019,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"31",0.399999999999999,0.497999999999999,17,0,113,0,"105030000028",3,NA,2006,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"32",0.371000000000001,0.478,28,0,157,0,"105030000028",3,NA,2007,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"33",0.381999999999999,0.49,23,11,154,0,"105030000028",3,NA,2008,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"34",0.379,0.468000000000002,37,0,186,0,"105030000028",3,NA,2009,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"35",0.377,0.445999999999999,44,13,242,0,"105030000028",3,NA,2010,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"36",0.378,0.495,41,19,178,0,"105030000028",3,NA,2011,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"37",0.335763157894737,0.486263157894737,22,24,154,0,"105030000028",3,NA,2012,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"38",0.382865030674845,0.479392638036809,25,13,167,0,"105030000028",3,NA,2013,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"39",0.467134831460674,0.474831460674158,6,21,178,0,"105030000028",3,NA,2014,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"40",0.447337662337663,0.457337662337662,7,2,154,0,"105030000028",3,NA,2015,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"41",0.47734693877551,0.505510204081633,1,17,147,0,"105030000028",3,NA,2016,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"42",0.44431654676259,0.48956834532374,0,55,139,0,"105030000028",3,NA,2017,"AMAGA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"43",0.439999999999999,0.502739726027397,0,49,146,0,"105030000028",3,NA,2018,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"44",0.47728,0.51,0,37,125,0,"105030000028",3,NA,2019,"AMAGÁ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"59",0.399999999999999,0.478,41,0,171,0,"105045000148",6,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"60",0.371000000000001,0.467500000000001,64,0,164,0,"105045000148",6,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"61",0.381999999999999,0.49,47,6,164,0,"105045000148",6,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"62",0.356999999999999,0.468000000000002,51,0,141,0,"105045000148",6,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"63",0.357,0.468,0,0,141,0,"105045000148",6,NA,2009,"ENVIGADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"64",0.399999999999999,0.418999999999999,54,1,202,0,"105045000148",6,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"65",0.396000000000001,0.472999999999999,74,3,171,0,"105045000148",6,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"66",0.355886597938144,0.484257731958765,58,18,196,0,"105045000148",6,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"67",0.371497175141244,0.468717514124293,51,6,178,0,"105045000148",6,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"68",0.470218009478674,0.479829383886256,31,12,212,0,"105045000148",6,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"69",0.474020100502512,0.484020100502512,13,9,199,0,"105045000148",6,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"70",0.510000000000001,0.52,6,0,161,0,"105045000148",6,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"71",0.49,0.51,1,46,154,0,"105045000148",6,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"72",0.520000000000001,0.51,0,40,145,0,"105045000148",6,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"73",0.51,0.540000000000001,0,37,153,0,"105045000148",6,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"74",0.374,0.488,12,0,40,0,"105045000164",7,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"75",0.374,0.488,0,0,40,0,"105045000164",7,NA,2006,"SANTAFÉ DE ANTIOQUIA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"76",0.397,0.519,18,0,42,0,"105045000164",7,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"77",0.405,0.539000000000001,35,0,81,0,"105045000164",7,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"78",0.381,0.49,40,0,85,0,"105045000164",7,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"79",0.399999999999999,0.446,41,0,126,0,"105045000164",7,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"80",0.405000000000001,0.505000000000001,57,2,118,0,"105045000164",7,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"81",0.365595041322314,0.504289256198348,57,0,123,0,"105045000164",7,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"82",0.371,0.526000000000001,41,5,112,0,"105045000164",7,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"83",0.5,0.539999999999999,22,7,74,0,"105045000164",7,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"84",0.505000000000001,0.530000000000001,16,2,90,0,"105045000164",7,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"85",0.530000000000001,0.545000000000001,2,1,78,0,"105045000164",7,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"86",0.530000000000001,0.560000000000001,1,26,117,0,"105045000164",7,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"87",0.534999999999998,0.57,0,15,114,0,"105045000164",7,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"88",0.539999999999999,0.600000000000001,0,19,108,0,"105045000164",7,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"89",0.367413793103448,0.478931034482759,6,1,29,0,"105045000318",8,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"90",0.485,0.47,0,3,30,0,"105045000318",8,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"91",0.476428571428572,0.492142857142857,4,10,56,0,"105045000318",8,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"92",0.466666666666666,0.505,1,15,90,0,"105045000318",8,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"93",0.42976377952756,0.475511811023624,0,108,254,0,"105045000318",8,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"94",0.41233962264151,0.461169811320756,0,108,265,0,"105045000318",8,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"95",0.407142857142856,0.44357142857143,0,128,252,0,"105045000318",8,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"96",0.374,0.478000000000001,26,0,98,0,"105045000393",9,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"97",0.341,0.435,22,0,93,0,"105045000393",9,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"98",0.356,0.49,0,5,73,0,"105045000393",9,NA,2008,"","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"99",0.356000000000001,0.489999999999999,16,5,73,0,"105045000393",9,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"100",0.355,0.468000000000001,37,0,88,0,"105045000393",9,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"101",0.377,0.419,25,6,86,0,"105045000393",9,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"102",0.37,0.473,21,3,57,0,"105045000393",9,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"103",0.335025316455696,0.490481012658228,28,1,82,0,"105045000393",9,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"104",0.353,0.495,22,3,61,0,"105045000393",9,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"105",0.47,0.48,11,4,70,0,"105045000393",9,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"106",0.460000000000001,0.48,7,0,65,0,"105045000393",9,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"107",0.48,0.51,5,2,86,0,"105045000393",9,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"108",0.485,0.520000000000001,0,19,94,0,"105045000393",9,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"109",0.44,0.48,0,15,63,0,"105045000393",9,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"110",0.5,0.5,0,19,86,0,"105045000393",9,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"111",0.387,0.457,8,0,56,0,"105045000601",10,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"112",0.371,0.435,5,0,42,0,"105045000601",10,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"113",0.382000000000001,0.488,7,10,78,0,"105045000601",10,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"114",0.355,0.467,16,0,44,0,"105045000601",10,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"115",0.399,0.419,8,1,47,0,"105045000601",10,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"116",0.343,0.451,15,0,53,0,"105045000601",10,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"117",0.334655172413793,0.474655172413793,13,4,58,0,"105045000601",10,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"118",0.375,0.479,7,0,24,0,"105045000601",10,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"119",0.46,0.5,3,0,40,0,"105045000601",10,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"120",0.47,0.47,0,0,40,0,"105045000601",10,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"121",0.47,0.51,1,2,35,0,"105045000601",10,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"122",0.5,0.54,0,8,33,0,"105045000601",10,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"123",0.57,0.56,0,11,29,0,"105045000601",10,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"124",0.48,0.53,0,7,19,0,"105045000601",10,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"139",0.399999999999999,0.497999999999999,39,0,120,0,"105045001454",12,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"140",0.371,0.478000000000001,32,0,100,0,"105045001454",12,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"141",0.405,0.539000000000001,33,2,75,0,"105045001454",12,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"142",0.357,0.468,42,0,81,0,"105045001454",12,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"143",0.421,0.419,28,3,114,0,"105045001454",12,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"144",0.396000000000001,0.537999999999999,53,9,87,0,"105045001454",12,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"145",0.343206896551724,0.495919540229885,38,1,89,0,"105045001454",12,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"146",0.379,0.474,21,5,78,0,"105045001454",12,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"147",0.5,0.510000000000001,16,5,61,0,"105045001454",12,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"148",0.49,0.5,11,8,101,0,"105045001454",12,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"149",0.56,0.57,3,4,78,0,"105045001454",12,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"150",0.510247933884297,0.541239669421487,0,37,121,0,"105045001454",12,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"151",0.51,0.530000000000001,0,27,113,0,"105045001454",12,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"152",0.458947368421053,0.508421052631579,0,18,114,0,"105045001454",12,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"158",0.374,0.457,7,0,33,0,"105045001667",14,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"159",0.371,0.457,5,0,50,0,"105045001667",14,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"160",0.405,0.514,11,6,68,0,"105045001667",14,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"161",0.346097345132743,0.445,19,0,114,0,"105045001667",14,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"162",0.377000000000001,0.388,32,31,173,0,"105045001667",14,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"163",0.348490196078431,0.467176470588235,24,21,103,0,"105045001667",14,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"164",0.335974358974358,0.480666666666667,22,14,78,0,"105045001667",14,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"165",0.353,0.495,15,11,67,0,"105045001667",14,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"166",0.45,0.48,5,8,60,0,"105045001667",14,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"167",0.49,0.49,1,6,49,0,"105045001667",14,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"168",0.48,0.5,0,0,47,0,"105045001667",14,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"169",0.460000000000001,0.510000000000001,0,20,67,0,"105045001667",14,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"170",0.425479452054795,0.486575342465753,0,33,73,0,"105045001667",14,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"171",0.443039215686274,0.482843137254902,0,38,102,0,"105045001667",14,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"172",0.374490566037737,0.461867924528302,32,0,160,0,"105045001683",15,NA,2006,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"173",0.372491803278689,0.449836065573771,25,0,124,0,"105045001683",15,NA,2007,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"174",0.371,0.457,0,0,124,0,"105045001683",15,NA,2007,"CAREPA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"175",0.379623762376238,0.510772277227722,38,6,105,0,"105045001683",15,NA,2008,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"176",0.357,0.445,21,0,96,0,"105045001683",15,NA,2009,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"177",0.377,0.417000000000001,39,7,144,0,"105045001683",15,NA,2010,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"178",0.396000000000001,0.473,31,4,88,0,"105045001683",15,NA,2011,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"179",0.334616161616161,0.474616161616161,21,1,99,0,"105045001683",15,NA,2012,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"180",0.371,0.484000000000001,22,5,91,0,"105045001683",15,NA,2013,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"181",0.450718954248366,0.449934640522876,17,22,153,0,"105045001683",15,NA,2014,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"182",0.465,0.469999999999999,2,9,82,0,"105045001683",15,NA,2015,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"183",0.45,0.49,1,8,99,0,"105045001683",15,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"184",0.44,0.51,0,21,82,0,"105045001683",15,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"185",0.489999999999999,0.524999999999999,0,16,70,0,"105045001683",15,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"186",0.469999999999999,0.51,0,19,84,0,"105045001683",15,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"187",0.435,0.46,0,0,20,0,"105045010721",16,NA,2016,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"188",0.44,0.47,0,6,30,0,"105045010721",16,NA,2017,"APARTADO","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"189",0.43,0.51,0,4,18,0,"105045010721",16,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"190",0.46,0.475,0,7,30,0,"105045010721",16,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"191",0.4,0.46,0,6,23,0,"105045010780",17,NA,2018,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"192",0.45,0.48,0,2,18,0,"105045010780",17,NA,2019,"APARTADÓ","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"193",0.371,0.457,5,0,37,0,"105129000071",18,NA,2007,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"194",0.382,0.513,5,1,33,0,"105129000071",18,NA,2008,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"195",0.379,0.468,9,0,33,0,"105129000071",18,NA,2009,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"196",0.377000000000001,0.418999999999999,21,5,159,0,"105129000071",18,NA,2010,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"197",0.369999999999999,0.472999999999999,26,0,126,0,"105129000071",18,NA,2011,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"198",0.333296296296295,0.473296296296296,20,5,109,0,"105129000071",18,NA,2012,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"199",0.344999999999999,0.494999999999999,23,1,103,0,"105129000071",18,NA,2013,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"200",0.5,0.5,8,5,89,0,"105129000071",18,NA,2014,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"201",0.490000000000001,0.490000000000001,3,20,132,0,"105129000071",18,NA,2015,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"202",0.479999999999999,0.490000000000001,1,3,124,0,"105129000071",18,NA,2016,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"203",0.469999999999999,0.539999999999999,1,32,83,0,"105129000071",18,NA,2017,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"204",0.49,0.530000000000001,0,31,103,0,"105129000071",18,NA,2018,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"205",0.5,0.539999999999999,0,16,70,0,"105129000071",18,NA,2019,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"206",0.4135,0.5435,6,5,25,0,"105129000089",19,NA,2011,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"207",0.342,0.526083333333333,3,1,25,0,"105129000089",19,NA,2012,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"208",0.362,0.521,6,1,30,0,"105129000089",19,NA,2013,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"209",0.5,0.51,0,2,33,0,"105129000089",19,NA,2014,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"210",0.51,0.5,1,1,27,0,"105129000089",19,NA,2015,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"211",0.48,0.53,1,0,27,0,"105129000089",19,NA,2016,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"212",0.47,0.51,0,7,26,0,"105129000089",19,NA,2017,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"213",0.525,0.565,0,7,34,0,"105129000089",19,NA,2018,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"214",0.48,0.51,0,6,36,0,"105129000089",19,NA,2019,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"215",0.4,0.478,10,0,37,0,"105129000208",20,NA,2006,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"216",0.371,0.498,16,0,42,0,"105129000208",20,NA,2007,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"217",0.405,0.539,9,0,25,0,"105129000208",20,NA,2008,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"218",0.379,0.489,18,0,49,0,"105129000208",20,NA,2009,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"219",0.379,0.489,0,0,49,0,"105129000208",20,NA,2009,"SANTAFÉ DE ANTIOQUIA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"220",0.421,0.474,36,0,109,0,"105129000208",20,NA,2010,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"221",0.431,0.549,37,0,71,0,"105129000208",20,NA,2011,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"222",0.38688679245283,0.555150943396227,18,0,53,0,"105129000208",20,NA,2012,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"223",0.397,0.568000000000001,28,0,50,0,"105129000208",20,NA,2013,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"224",0.55,0.57,7,6,39,0,"105129000208",20,NA,2014,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"225",0.57,0.545000000000001,7,8,66,0,"105129000208",20,NA,2015,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"226",0.579999999999999,0.59,4,10,63,0,"105129000208",20,NA,2016,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"227",0.62,0.64,0,8,33,0,"105129000208",20,NA,2017,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"228",0.590000000000001,0.600000000000001,0,10,69,0,"105129000208",20,NA,2018,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"229",0.57,0.57,0,3,37,0,"105129000208",20,NA,2019,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"230",0.387764705882353,0.488588235294117,64,0,299,0,"105129000216",21,NA,2006,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"231",0.3935,0.493,0,0,299,0,"105129000216",21,NA,2006,"MEDELLIN","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"232",0.370999999999999,0.477999999999998,61,0,283,0,"105129000216",21,NA,2007,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"233",0.405000000000001,0.514999999999998,82,6,301,0,"105129000216",21,NA,2008,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"234",0.379000000000001,0.468000000000002,77,0,293,0,"105129000216",21,NA,2009,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"235",0.379,0.468,0,0,293,0,"105129000216",21,NA,2009,"SANTAFÉ DE ANTIOQUIA","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"236",0.400000000000002,0.445999999999999,85,0,405,0,"105129000216",21,NA,2010,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"237",0.396000000000001,0.504999999999998,76,5,255,0,"105129000216",21,NA,2011,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"238",0.356970085470085,0.495119658119659,45,13,235,0,"105129000216",21,NA,2012,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
"239",0.397000000000001,0.516000000000002,50,11,258,0,"105129000216",21,NA,2013,"CALDAS","CONTROL","PUBL",1000,10000,0,0,"base_ai"
